"tradingdate","close","open","high","low","volumn","pctchange"
2012-08-31 00:00:00.000,396.02,396.88,398.19,394.29,33.35,-0.31
2012-08-30 00:00:00.000,397.25,394.9,399.44,393.37,39.04,1.07
2012-08-29 00:00:00.000,393.06,389.85,394.04,389.85,41.6,1.89
2012-08-28 00:00:00.000,385.78,381.06,386.05,379.61,41.23,-0.11
2012-08-27 00:00:00.000,386.19,395.37,395.61,385.05,42.33,-3.38
2012-08-24 00:00:00.000,399.72,379.45,402.22,378.17,94.64,1.76
2012-08-23 00:00:00.000,392.82,400.03,400.07,391.54,38.83,-4.24
2012-08-22 00:00:00.000,410.23,404.22,413.42,404.17,74.16,-1.59
2012-08-21 00:00:00.000,416.84,430.79,430.79,416.23,70.06,-4.67
2012-08-20 00:00:00.000,437.28,435.33,437.61,434.92,41.5,0.88
2012-08-17 00:00:00.000,433.45,430.83,434.72,430.83,37.82,0.61
2012-08-16 00:00:00.000,430.83,430.77,433.63,429.43,26.76,0.01
2012-08-15 00:00:00.000,430.77,429.96,432.44,429.96,39.64,0.3
2012-08-14 00:00:00.000,429.47,425.79,430.89,425.79,50.53,0.77
2012-08-13 00:00:00.000,426.17,423.79,426.38,423.44,29.84,0.14
2012-08-10 00:00:00.000,425.56,427.49,427.93,425.06,37.45,-0.33
2012-08-09 00:00:00.000,426.98,424.43,428.21,424.43,43.06,0.81
2012-08-08 00:00:00.000,423.57,422.74,424.52,421.31,23.8,0.25
2012-08-07 00:00:00.000,422.5,423.72,425.46,422.44,33.16,-0.16
2012-08-06 00:00:00.000,423.16,419.29,423.77,419.29,44.57,1.18
2012-08-03 00:00:00.000,418.21,417.63,419.26,417.09,24.18,0.51
2012-08-02 00:00:00.000,416.1,414.23,417.96,414.23,21.9,0.86
2012-08-01 00:00:00.000,412.55,413.73,413.99,410.54,27.62,-0.47
2012-07-31 00:00:00.000,414.48,415.7,416.57,414.19,25.4,-0.13
2012-07-30 00:00:00.000,415.0,410.57,415.31,410.08,26.69,0.45
2012-07-27 00:00:00.000,413.16,416.43,417.68,412.47,38.35,-0.4
2012-07-26 00:00:00.000,414.8,413.78,416.63,412.89,30.78,0.46
2012-07-25 00:00:00.000,412.91,412.94,415.71,412.56,43.52,-0.65
2012-07-24 00:00:00.000,415.63,420.19,420.62,414.6,44.84,-1.51
2012-07-23 00:00:00.000,421.99,423.31,426.13,421.42,50.66,-0.58
2012-07-20 00:00:00.000,424.47,432.1,432.46,424.47,72.95,-0.91
2012-07-19 00:00:00.000,428.38,417.77,428.38,417.77,84.9,2.28
2012-07-18 00:00:00.000,418.83,418.19,419.91,416.1,49.4,0.31
2012-07-17 00:00:00.000,417.55,411.72,418.5,411.72,48.14,0.86
2012-07-16 00:00:00.000,413.98,417.54,418.78,413.28,41.74,-0.72
2012-07-13 00:00:00.000,416.98,409.85,416.98,409.85,55.75,2.02
2012-07-12 00:00:00.000,408.72,406.5,409.7,406.18,43.56,0.35
2012-07-11 00:00:00.000,407.28,405.29,408.21,405.07,22.77,0.47
2012-07-10 00:00:00.000,405.39,406.4,409.86,405.39,28.74,-0.67
2012-07-09 00:00:00.000,408.12,413.59,414.39,407.51,31.97,-1.76
2012-07-06 00:00:00.000,415.44,414.01,417.97,413.53,43.33,0.39
2012-07-05 00:00:00.000,413.83,410.85,413.83,408.43,31.52,0.75
2012-07-04 00:00:00.000,410.73,413.41,416.03,410.73,27.63,-0.57
2012-07-03 00:00:00.000,413.09,416.47,417.21,411.86,43.27,-1.48
2012-07-02 00:00:00.000,419.3,421.94,424.95,418.18,38.61,-0.73
2012-06-29 00:00:00.000,422.37,420.76,422.37,418.49,55.76,1.01
2012-06-28 00:00:00.000,418.16,418.04,418.78,415.34,42.93,0.03
2012-06-27 00:00:00.000,418.04,419.78,422.17,418.0,43.9,-0.27
2012-06-26 00:00:00.000,419.19,421.17,421.76,417.92,50.52,-1.16
2012-06-25 00:00:00.000,424.12,426.54,429.81,422.95,62.79,-0.71
2012-06-22 00:00:00.000,427.17,429.95,430.19,426.5,51.73,-0.92
2012-06-21 00:00:00.000,431.14,432.27,433.49,430.83,43.84,-0.4
2012-06-20 00:00:00.000,432.89,431.8,434.16,429.2,34.0,0.42
2012-06-19 00:00:00.000,431.08,434.04,435.11,430.23,68.59,-1.04
2012-06-18 00:00:00.000,435.59,436.89,439.29,433.75,59.25,0.58
2012-06-15 00:00:00.000,433.09,425.62,433.09,425.62,72.65,1.84
2012-06-14 00:00:00.000,425.28,425.74,428.59,424.05,46.93,-0.54
2012-06-13 00:00:00.000,427.61,429.73,429.73,424.86,84.09,-0.13
2012-06-12 00:00:00.000,428.16,432.89,432.89,428.04,57.13,-1.0
2012-06-11 00:00:00.000,432.5,432.15,435.86,430.28,68.13,-0.09
2012-06-08 00:00:00.000,432.9,439.02,441.46,432.9,82.63,-0.35
2012-06-07 00:00:00.000,434.41,431.14,436.68,428.61,71.3,1.88
2012-06-06 00:00:00.000,426.39,421.09,427.17,420.81,91.5,1.28
2012-06-05 00:00:00.000,421.02,413.96,421.02,413.58,101.79,1.05
2012-06-04 00:00:00.000,416.65,426.91,427.58,416.65,143.32,-2.83
2012-06-01 00:00:00.000,428.8,430.75,432.27,427.98,72.18,-0.09
2012-05-31 00:00:00.000,429.2,431.84,433.94,428.52,48.18,-1.41
2012-05-30 00:00:00.000,435.34,433.29,437.31,432.39,49.05,0.9
2012-05-29 00:00:00.000,431.44,431.75,432.91,429.11,47.68,-0.93
2012-05-28 00:00:00.000,435.48,443.24,443.24,433.42,66.81,-0.43
2012-05-25 00:00:00.000,437.38,432.62,438.42,431.01,77.82,2.45
2012-05-24 00:00:00.000,426.92,431.39,435.59,425.65,58.04,-2.25
2012-05-23 00:00:00.000,436.75,443.6,446.2,436.75,66.02,-2.5
2012-05-22 00:00:00.000,447.94,451.32,453.7,446.84,84.44,-0.02
2012-05-21 00:00:00.000,448.02,438.53,448.19,437.72,77.33,3.0
2012-05-18 00:00:00.000,434.95,439.69,440.24,430.29,80.36,-1.72
2012-05-17 00:00:00.000,442.58,449.77,453.72,442.58,77.75,-1.63
2012-05-16 00:00:00.000,449.91,455.75,458.57,446.38,86.46,-1.26
2012-05-15 00:00:00.000,455.65,462.97,467.63,455.47,97.22,-2.99
2012-05-14 00:00:00.000,469.69,477.73,483.15,469.69,110.42,-2.17
2012-05-11 00:00:00.000,480.1,487.68,488.13,479.87,114.3,-1.23
2012-05-10 00:00:00.000,486.07,490.03,491.35,482.68,134.65,-0.32
2012-05-09 00:00:00.000,487.62,488.19,490.49,485.33,113.92,-0.09
2012-05-08 00:00:00.000,488.07,488.6,492.44,486.25,133.18,0.36
2012-05-07 00:00:00.000,486.31,481.95,486.31,481.05,100.55,2.1
2012-05-04 00:00:00.000,476.32,470.53,477.72,470.53,108.08,1.6
2012-05-03 00:00:00.000,468.8,470.54,473.07,465.0,103.9,-0.77
2012-05-02 00:00:00.000,472.46,476.02,478.44,471.07,118.28,-0.28
2012-04-27 00:00:00.000,473.77,473.43,475.22,470.43,86.18,0.76
2012-04-26 00:00:00.000,470.21,472.82,475.44,470.21,96.33,-0.56
2012-04-25 00:00:00.000,472.87,471.39,473.22,468.89,88.09,1.55
2012-04-24 00:00:00.000,465.65,465.67,466.23,460.6,88.34,0.1
2012-04-23 00:00:00.000,465.17,466.8,469.2,464.61,66.38,-0.12
2012-04-20 00:00:00.000,465.72,467.08,470.5,462.91,106.58,-0.29
2012-04-19 00:00:00.000,467.08,470.81,473.31,465.29,144.51,-1.08
2012-04-18 00:00:00.000,472.16,475.1,478.87,471.36,143.5,-0.14
2012-04-17 00:00:00.000,472.84,471.54,474.92,467.58,118.09,0.98
2012-04-16 00:00:00.000,468.26,465.06,470.73,461.76,89.7,1.24
2012-04-13 00:00:00.000,462.52,467.48,468.38,462.52,122.02,-0.59
2012-04-12 00:00:00.000,465.26,462.22,468.14,460.79,106.54,1.42
2012-04-11 00:00:00.000,458.74,457.56,458.74,452.69,99.44,1.75
2012-04-10 00:00:00.000,450.85,451.01,455.86,448.91,87.74,0.03
2012-04-09 00:00:00.000,450.73,450.55,452.06,448.17,66.3,0.74
2012-04-06 00:00:00.000,447.44,447.08,450.23,445.87,91.17,0.56
2012-04-05 00:00:00.000,444.93,439.0,445.8,436.67,61.59,1.17
2012-04-04 00:00:00.000,439.77,446.02,447.02,439.27,50.71,-1.35
2012-04-03 00:00:00.000,445.77,440.95,446.14,440.23,59.85,1.07
2012-03-30 00:00:00.000,441.03,442.57,443.74,437.62,67.12,0.32
2012-03-29 00:00:00.000,439.63,449.01,449.01,439.47,74.52,-1.5
2012-03-28 00:00:00.000,446.32,443.2,447.14,437.05,82.03,0.09
2012-03-27 00:00:00.000,445.92,457.55,457.55,445.92,120.88,-2.9
2012-03-26 00:00:00.000,459.26,458.21,459.26,451.46,93.97,1.14
2012-03-23 00:00:00.000,454.1,448.93,455.16,448.85,88.12,1.89
2012-03-22 00:00:00.000,445.67,442.77,448.92,442.44,81.61,-0.02
2012-03-21 00:00:00.000,445.77,443.43,450.25,443.13,98.38,1.24
2012-03-20 00:00:00.000,440.29,435.2,441.73,435.2,62.75,0.51
2012-03-19 00:00:00.000,438.07,435.82,440.92,433.6,58.56,-0.1
2012-03-16 00:00:00.000,438.52,449.66,450.32,438.52,113.65,-0.75
2012-03-15 00:00:00.000,441.85,433.47,442.55,430.39,105.7,1.84
2012-03-14 00:00:00.000,433.86,435.73,437.23,429.22,64.09,1.04
2012-03-13 00:00:00.000,429.39,429.73,433.66,427.76,62.96,0.32
2012-03-12 00:00:00.000,428.02,429.83,432.61,423.43,74.78,-0.95
2012-03-09 00:00:00.000,432.11,429.2,435.27,424.43,78.99,0.1
2012-03-08 00:00:00.000,431.66,436.44,443.5,431.66,90.58,-2.78
2012-03-07 00:00:00.000,444.02,442.74,444.25,433.69,101.25,-0.22
2012-03-06 00:00:00.000,445.0,465.63,468.15,444.99,154.49,-2.67
2012-03-05 00:00:00.000,457.21,448.66,459.8,448.66,103.34,4.01
2012-03-02 00:00:00.000,439.6,432.32,439.6,431.79,81.7,2.72
2012-03-01 00:00:00.000,427.95,426.48,427.95,422.65,89.54,1.02
2012-02-29 00:00:00.000,423.64,420.02,423.64,418.01,125.98,0.34
2012-02-28 00:00:00.000,422.22,429.26,431.11,421.65,121.72,-1.44
2012-02-27 00:00:00.000,428.41,426.03,430.75,425.66,65.37,1.18
2012-02-24 00:00:00.000,423.43,427.1,429.42,423.43,78.56,-0.11
2012-02-23 00:00:00.000,423.89,419.49,423.89,416.45,67.37,1.31
2012-02-22 00:00:00.000,418.41,410.63,418.41,410.63,54.9,1.83
2012-02-21 00:00:00.000,410.91,421.81,422.19,410.32,59.09,-0.74
2012-02-20 00:00:00.000,413.98,409.83,414.5,408.98,48.96,2.65
2012-02-17 00:00:00.000,403.3,397.98,403.3,397.98,40.79,1.71
2012-02-16 00:00:00.000,396.51,395.2,398.44,393.66,34.86,-0.23
